,Date,daily_generacion,daily_consumo_combustible,daily_demanda,daily_aportes_energia,daily_volumen_util_energia,daily_disponibilidad_real,daily_precio_bolsa,daily_emision_CO2_eq
171,2014-03-21,185.69300926999998,324.77063999999996,182.39530758,77.4227,7711.1668638,286.11696,159.46875,21759.900000000005
172,2014-03-22,175.27381554,329.8879,173.11406283000002,77.1331,7651.4006045,275.56728,170.32666666666668,22537.83
173,2014-03-23,155.65316543,310.62853,152.08487415000002,88.3004,7620.1324633,277.97904,179.32083333333335,21565.489999999998
174,2014-03-24,158.29783338,391.59808000000004,154.67061237000001,78.525,7584.876703,281.71992,165.81708333333333,27459.530000000002
175,2014-03-25,177.82633807,402.11685000000006,176.14991881,90.2806,7541.641699899999,283.50503999999995,165.14208333333332,28330.439999999995
176,2014-03-26,181.34318557999998,384.8978000000001,179.28326431,117.5726,7522.1749378,282.31919999999997,177.42208333333335,27381.929999999993
177,2014-03-27,182.07564007,372.6318300000001,179.59248972,77.2806,7449.6749332,289.32456,155.2825,26693.38
178,2014-03-28,181.91300721,423.79005,181.25103882,70.0261,7378.5921557,289.61136,157.30875,30985.859999999997
179,2014-03-29,173.45326950999998,425.16868000000005,172.64235114,63.2298,7314.676236,290.40383999999995,138.62166666666667,30205.89
180,2014-03-30,153.74461189000002,430.82321,153.12987836000002,59.4876,7260.9271264,287.33135999999996,139.70333333333335,30646.959999999992
181,2014-03-31,177.38328737,425.75721999999996,176.04948997999998,59.4464,7189.559496899999,290.40744,142.98291666666668,31016.869999999995
182,2014-04-01,181.00932953999998,428.23034999999993,178.94601569,57.369,7113.913441899999,289.30368,150.91041666666666,31455.129999999997
183,2014-04-02,182.28410112999998,466.26041,180.43634823,61.384,7040.598535300001,287.58480000000003,183.49749999999997,34080.61
184,2014-04-03,182.270014,527.1518500000001,180.28409668999998,66.0327,6987.408326399999,289.19928,216.30416666666665,38031.229999999996
185,2014-04-04,182.28624058000003,616.57889,181.47597588,70.1917,6945.8614698,294.04608,285.7275,44423.81999999999
186,2014-04-05,171.5744665,585.54626,171.54740016,84.7986,6916.3397393000005,295.04447999999996,241.39583333333334,42201.21
187,2014-04-06,154.27872858,543.9336,155.00321415000002,65.077,6893.9752412,293.58936,217.64124999999999,39302.87
188,2014-04-07,181.31262145999997,517.1885900000001,178.83841701,107.901,6871.5908618,289.04688,318.53000000000003,37003.4
189,2014-04-08,184.93353424,527.66457,181.87389153,125.9187,6863.751863699999,288.73248,318.6066666666666,38133.05
190,2014-04-09,184.04699126999998,518.02323,181.44402476,100.8958,6820.779594899999,283.32024,334.40749999999997,37764.009999999995
191,2014-04-10,183.71330422000003,526.05503,181.82980123,76.6779,6769.150758899999,287.55935999999997,363.25,38697.060000000005
192,2014-04-11,186.11585435,551.81003,184.16542141999997,62.0387,6699.7141753999995,292.01135999999997,334.4225,40073.18000000001
193,2014-04-12,174.31457871,510.46704,173.94504512999998,64.8451,6635.484077,126.58079999999998,323.165,36916.42
194,2014-04-13,156.87520489999997,515.37964,156.997608,64.144,6595.667219100001,286.39512,335.7675,37225.87
195,2014-04-14,181.75246868000002,512.7405,179.17135177,67.9798,6526.1526304,286.48944,355.73583333333335,37522.59
196,2014-04-15,179.93229183000003,550.35077,177.29281744,77.3565,6474.9677753999995,283.00008,401.1358333333333,40139.14
197,2014-04-16,174.37859556,557.38757,171.93029902,78.656,6441.7178469,287.00232,425.5874999999999,40928.53999999999
198,2014-04-17,148.29061437000001,500.24601000000007,147.1254728,102.7484,6444.3383613999995,288.35208,459.435,36760.119999999995
199,2014-04-18,138.66442282,433.50301999999994,138.70747851,77.0711,6413.881189899999,282.66072,450.68083333333334,30726.339999999997
200,2014-04-19,152.32924139000002,444.2055,152.34651418,135.1728,6436.8767213,283.30656,426.54,31639.27
201,2014-04-20,148.75817778,458.42346000000003,148.79275257,121.9076,6453.8793343,286.89864,429.9566666666667,32883.31
202,2014-04-21,178.92612998,536.60308,177.47431322999998,112.3223,6432.725154199999,277.37519999999995,467.0883333333333,37942.770000000004
203,2014-04-22,179.86380927,539.78481,179.35644098,116.1946,6415.3851346,273.50856,469.04833333333335,39428.22
204,2014-04-23,182.09243582,521.52108,180.67376355000002,122.4736,6393.6181485,271.71888,454.1658333333333,38029.21000000001
205,2014-04-24,178.28218749,489.51219000000003,177.06434685,261.231,6517.2887146,271.10832,471.455,35196.299999999996
206,2014-04-25,182.72468733,476.38487,181.55870196,136.7087,6509.552286,274.88496000000004,478.87750000000005,34301.64
207,2014-04-26,170.68595194999997,456.44003,170.19153287,272.9504,6638.4656001,267.65832,474.91,32163.82
208,2014-04-27,154.49425265,522.31469,154.66902302,170.8224,6695.0009845,271.32527999999996,459.4154166666667,37239.86
209,2014-04-28,183.90327982999997,484.13712,181.13682925,156.2617,6710.798393,276.306,446.00083333333333,35568.54000000001
210,2014-04-29,185.33351288,470.06924,183.27537654,214.1991,6783.9982553,267.86664,457.4891666666667,33648.82
211,2014-04-30,183.66539035999998,476.80164999999994,181.44951509,147.4956,6789.368527600001,272.7264,461.2445833333333,33976.7
212,2014-05-01,159.20480382999997,593.4761900000002,158.72975004,130.6064,6819.7027948,270.46727999999996,410.0975,42605.96
